------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=119.999 sec; Warm up time=400 msec; SentMessages=12001; ReceivedMessages=12000
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=66.328 (std-dev=100.572, mean-ad=21.204, median-ad=16.105, siqr=11.703, cv=1.516, std-error=0.920, 99.0% ci=[63.959, 68.697])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 4016.060
sockperf: ---> percentile 99.999 = 4016.060
sockperf: ---> percentile 99.990 = 3518.218
sockperf: ---> percentile 99.900 = 1885.813
sockperf: ---> percentile 99.000 =  223.075
sockperf: ---> percentile 90.000 =   85.152
sockperf: ---> percentile 75.000 =   70.596
sockperf: ---> percentile 50.000 =   56.554
sockperf: ---> percentile 25.000 =   47.190
sockperf: ---> <MIN> observation =   21.605
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
0, 7.417140469, 7.417184113, 43.644
1, 7.427140468, 7.427185668, 45.200
2, 7.437140468, 7.437185837, 45.369
3, 7.447140465, 7.447200033, 59.568
4, 7.457140486, 7.457201361, 60.875
5, 7.467140471, 7.467204278, 63.807
6, 7.477140470, 7.477206611, 66.141
7, 7.487140463, 7.487193967, 53.504
8, 7.497140469, 7.497187158, 46.689
9, 7.507140470, 7.507205828, 65.358
10, 7.517140462, 7.517207968, 67.506
11, 7.527140465, 7.527198011, 57.546
12, 7.537140466, 7.537216530, 76.064
13, 7.547140487, 7.547216178, 75.691
14, 7.557140490, 7.557203329, 62.839
15, 7.567140463, 7.567208810, 68.347
16, 7.577140466, 7.577197240, 56.774
17, 7.587140470, 7.587193367, 52.897
18, 7.597140469, 7.597197317, 56.848
19, 7.607140473, 7.607200956, 60.483
20, 7.617140557, 7.617225325, 84.768
21, 7.627140501, 7.627194490, 53.989
22, 7.637140559, 7.637193283, 52.724
23, 7.647140483, 7.647184166, 43.683
24, 7.657140533, 7.657199156, 58.623
25, 7.667140620, 7.667205957, 65.337
26, 7.677140521, 7.677177431, 36.910
27, 7.687140465, 7.687223168, 82.703
28, 7.697140558, 7.697223802, 83.244
29, 7.707140466, 7.707184496, 44.030
30, 7.717140490, 7.717350561, 210.071
31, 7.727140458, 7.727184326, 43.868
32, 7.737140469, 7.737180470, 40.001
33, 7.747140458, 7.747179829, 39.371
34, 7.757140460, 7.757186782, 46.322
35, 7.767140464, 7.767183227, 42.763
36, 7.777140459, 7.777184105, 43.646
37, 7.787140459, 7.787182330, 41.871
38, 7.797140470, 7.797181300, 40.830
39, 7.807140468, 7.807185937, 45.469
40, 7.817140493, 7.817205236, 64.743
41, 7.827140464, 7.827208155, 67.691
42, 7.837140465, 7.837213365, 72.900
43, 7.847140465, 7.847207923, 67.458
44, 7.857140489, 7.857196247, 55.758
45, 7.867140466, 7.867221986, 81.520
46, 7.877141012, 7.877243746, 102.734
47, 7.887140466, 7.887210463, 69.997
48, 7.897140466, 7.897181252, 40.786
49, 7.907140467, 7.907199207, 58.740
50, 7.917140507, 7.917187498, 46.991
51, 7.927140464, 7.927182449, 41.985
52, 7.937140470, 7.937182585, 42.115
53, 7.947140471, 7.947184021, 43.550
54, 7.957140468, 7.957207454, 66.986
55, 7.967140468, 7.967185140, 44.672
56, 7.977140463, 7.977219156, 78.693
57, 7.987140464, 7.987201353, 60.889
58, 7.997140466, 7.997195418, 54.952
59, 8.007140978, 8.007257585, 116.607
60, 8.017140698, 8.017218730, 78.032
61, 8.027140469, 8.027188546, 48.077
62, 8.037140473, 8.037218922, 78.449
63, 8.047140720, 8.047235889, 95.169
64, 8.057140498, 8.057224947, 84.449
65, 8.067140650, 8.067232390, 91.740
66, 8.077140801, 8.077188642, 47.841
67, 8.087141011, 8.087217947, 76.936
68, 8.097140463, 8.097201049, 60.586
69, 8.107140479, 8.107191162, 50.683
70, 8.117140466, 8.117194324, 53.858
71, 8.127140496, 8.127183981, 43.485
72, 8.137140669, 8.137221344, 80.675
73, 8.147141055, 8.147290862, 149.807
74, 8.157140624, 8.157203158, 62.534
75, 8.167140492, 8.167225650, 85.158
76, 8.177140581, 8.177180614, 40.033
77, 8.187140765, 8.187212693, 71.928
78, 8.197140516, 8.197182246, 41.730
79, 8.207140570, 8.207186348, 45.778
80, 8.217140575, 8.217186532, 45.957
81, 8.227140548, 8.227193607, 53.059
82, 8.237140466, 8.237195680, 55.214
83, 8.247141107, 8.247287221, 146.114
84, 8.257140782, 8.257422511, 281.729
85, 8.267140533, 8.267389378, 248.845
86, 8.277140558, 8.277453765, 313.207
87, 8.287140961, 8.287259651, 118.690
