------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=120.000 sec; Warm up time=400 msec; SentMessages=12002; ReceivedMessages=12001
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=56.053 (std-dev=81.477, mean-ad=15.600, median-ad=10.775, siqr=8.570, cv=1.454, std-error=0.745, 99.0% ci=[54.134, 57.972])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 6822.542
sockperf: ---> percentile 99.999 = 6822.542
sockperf: ---> percentile 99.990 = 2870.027
sockperf: ---> percentile 99.900 =  512.987
sockperf: ---> percentile 99.000 =  127.601
sockperf: ---> percentile 90.000 =   75.543
sockperf: ---> percentile 75.000 =   59.294
sockperf: ---> percentile 50.000 =   48.161
sockperf: ---> percentile 25.000 =   42.153
sockperf: ---> <MIN> observation =   32.717
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
0, 7.423339475, 7.423385351, 45.876
1, 7.433339324, 7.433377859, 38.535
2, 7.443339481, 7.443382631, 43.150
3, 7.453339326, 7.453391243, 51.917
4, 7.463339319, 7.463382144, 42.825
5, 7.473339341, 7.473381849, 42.508
6, 7.483339321, 7.483380593, 41.272
7, 7.493339326, 7.493378449, 39.123
8, 7.503339322, 7.503376737, 37.415
9, 7.513339319, 7.513385451, 46.132
10, 7.523339322, 7.523390025, 50.703
11, 7.533339344, 7.533397804, 58.460
12, 7.543339325, 7.543392504, 53.179
13, 7.553339316, 7.553386358, 47.042
14, 7.563339326, 7.563381392, 42.066
15, 7.573339318, 7.573378081, 38.763
16, 7.583339323, 7.583377862, 38.539
17, 7.593339328, 7.593377994, 38.666
18, 7.603339321, 7.603379755, 40.434
19, 7.613339327, 7.613377828, 38.501
20, 7.623339455, 7.623394858, 55.403
21, 7.633339328, 7.633380600, 41.272
22, 7.643339322, 7.643377706, 38.384
23, 7.653339321, 7.653389034, 49.713
24, 7.663339324, 7.663380632, 41.308
25, 7.673339345, 7.673388465, 49.120
26, 7.683339329, 7.683379360, 40.031
27, 7.693339329, 7.693377708, 38.379
28, 7.703339321, 7.703378449, 39.128
29, 7.713339327, 7.713378266, 38.939
30, 7.723339325, 7.723381162, 41.837
31, 7.733339317, 7.733385449, 46.132
32, 7.743339333, 7.743384685, 45.352
33, 7.753339339, 7.753393704, 54.365
34, 7.763339334, 7.763397412, 58.078
35, 7.773339321, 7.773384319, 44.998
36, 7.783339337, 7.783379268, 39.931
37, 7.793339318, 7.793392370, 53.052
38, 7.803339318, 7.803395890, 56.572
39, 7.813339321, 7.813389172, 49.851
40, 7.823339323, 7.823409608, 70.285
41, 7.833339350, 7.833423939, 84.589
42, 7.843339324, 7.843404663, 65.339
43, 7.853339326, 7.853409533, 70.207
44, 7.863339322, 7.863402300, 62.978
45, 7.873339473, 7.873414593, 75.120
46, 7.883339320, 7.883402092, 62.772
47, 7.893339322, 7.893433127, 93.805
48, 7.903339321, 7.903404236, 64.915
49, 7.913339687, 7.913387869, 48.182
50, 7.923339324, 7.923396695, 57.371
51, 7.933339318, 7.933394730, 55.412
52, 7.943339326, 7.943412906, 73.580
53, 7.953339322, 7.953449028, 109.706
54, 7.963339329, 7.963407198, 67.869
55, 7.973339318, 7.973393410, 54.092
56, 7.983339321, 7.983427342, 88.021
57, 7.993339324, 7.993421707, 82.383
58, 8.003339324, 8.003429953, 90.629
59, 8.013339326, 8.013433400, 94.074
60, 8.023339342, 8.023457499, 118.157
61, 8.033339326, 8.033437227, 97.901
62, 8.043339329, 8.043445623, 106.294
63, 8.053339345, 8.053425496, 86.151
64, 8.063339345, 8.063388281, 48.936
65, 8.073339329, 8.073393749, 54.420
66, 8.083339326, 8.083393094, 53.768
67, 8.093339324, 8.093379498, 40.174
68, 8.103339326, 8.103392014, 52.688
69, 8.113339339, 8.113391723, 52.384
70, 8.123339379, 8.123400040, 60.661
71, 8.133339328, 8.133413446, 74.118
72, 8.143339329, 8.143413198, 73.869
73, 8.153339319, 8.153433301, 93.982
74, 8.163339325, 8.163424344, 85.019
75, 8.173339319, 8.173410879, 71.560
76, 8.183339326, 8.183392083, 52.757
77, 8.193339328, 8.193390790, 51.462
78, 8.203339327, 8.203389603, 50.276
79, 8.213339324, 8.213381855, 42.531
80, 8.223339962, 8.223416084, 76.122
81, 8.233339324, 8.233383383, 44.059
82, 8.243339324, 8.243377964, 38.640
83, 8.253339343, 8.253398511, 59.168
84, 8.263339326, 8.263383160, 43.834
85, 8.273339321, 8.273381075, 41.754
86, 8.283339326, 8.283405972, 66.646
87, 8.293339329, 8.293388870, 49.541
88, 8.303339324, 8.303393135, 53.811
89, 8.313339323, 8.313397229, 57.906
90, 8.323339326, 8.323390325, 50.999
91, 8.333339323, 8.333396184, 56.861
92, 8.343339326, 8.343397675, 58.349
93, 8.353339324, 8.353413899, 74.575
94, 8.363339323, 8.363403416, 64.093
95, 8.373339415, 8.373437302, 97.887
96, 8.383339324, 8.383386356, 47.032
97, 8.393339422, 8.393431422, 92.000
98, 8.403339324, 8.403409004, 69.680
99, 8.413339324, 8.413382360, 43.036
100, 8.423339330, 8.423391789, 52.459
101, 8.433339349, 8.433399066, 59.717
102, 8.443339336, 8.443387610, 48.274
103, 8.453339359, 8.453393004, 53.645
104, 8.463339344, 8.463381411, 42.067
105, 8.473339335, 8.473391014, 51.679
106, 8.483339340, 8.483421396, 82.056
107, 8.493339324, 8.493438106, 98.782
108, 8.503339324, 8.503446403, 107.079
109, 8.513339341, 8.513428921, 89.580
110, 8.523339324, 8.523420410, 81.086
111, 8.533339328, 8.533442614, 103.286
112, 8.543339337, 8.543446422, 107.085
113, 8.553339319, 8.553439525, 100.206
114, 8.563339328, 8.563393172, 53.844
115, 8.573339322, 8.573386381, 47.059
116, 8.583339325, 8.583394937, 55.612
117, 8.593339321, 8.593400341, 61.020
118, 8.603339321, 8.603400471, 61.150
119, 8.613339324, 8.613400818, 61.494
120, 8.623339325, 8.623400079, 60.754
121, 8.633339323, 8.633411865, 72.542
122, 8.643339320, 8.643395519, 56.199
123, 8.653339324, 8.653426409, 87.085
124, 8.663339321, 8.663394272, 54.951
125, 8.673339323, 8.673403139, 63.816
126, 8.683339326, 8.683414588, 75.262
127, 8.693339363, 8.693409837, 70.474
128, 8.703339329, 8.703395991, 56.662
129, 8.713339319, 8.713385177, 45.858
130, 8.723339321, 8.723394553, 55.232
131, 8.733339329, 8.733416266, 76.937
132, 8.743339317, 8.743398145, 58.828
133, 8.753339322, 8.753418532, 79.210
134, 8.763339458, 8.763440236, 100.778
135, 8.773339321, 8.773383911, 44.590
136, 8.783339450, 8.783423172, 83.722
137, 8.793339326, 8.793387048, 47.722
138, 8.803339324, 8.803379259, 39.935
139, 8.813339325, 8.813393774, 54.449
140, 8.823339328, 8.823402995, 63.667
141, 8.833339347, 8.833395301, 55.954
142, 8.843339337, 8.843409678, 70.341
143, 8.853339322, 8.853449265, 109.943
144, 8.863339335, 8.863412091, 72.756
145, 8.873339321, 8.873411924, 72.603
146, 8.883339324, 8.883393198, 53.874
147, 8.893339326, 8.893401437, 62.111
148, 8.903339319, 8.903399970, 60.651
149, 8.913339324, 8.913393521, 54.197
150, 8.923339332, 8.923426210, 86.878
151, 8.933339711, 8.933396305, 56.594
152, 8.943339372, 8.943410353, 70.981
153, 8.953339364, 8.953409984, 70.620
154, 8.963339334, 8.963417134, 77.800
155, 8.973339629, 8.973406898, 67.269
156, 8.983339344, 8.983400426, 61.082
157, 8.993339348, 8.993392830, 53.482
158, 9.003339330, 9.003381353, 42.023
159, 9.013339334, 9.013377430, 38.096
160, 9.023339324, 9.023390174, 50.850
161, 9.033339319, 9.033378638, 39.319
162, 9.043339329, 9.043378058, 38.729
163, 9.053339324, 9.053383486, 44.162
164, 9.063339347, 9.063404205, 64.858
165, 9.073339339, 9.073395008, 55.669
166, 9.083339339, 9.083384151, 44.812
167, 9.093339321, 9.093380062, 40.741
